,Name,Type,Cost,Color,Rarity,Quality,Price,Set,Description
0,Black Lotus,Artifact,0,,R,EX,47999.99,Beta,"{T}, Sacrifice Black Lotus: Add three mana of any one color."
1,Underground Sea,Land - Island Swamp,0,,R,G,524.99,3rd Edition,{T}: Add {B} or {U}. 
2,Volcanic Island,Land - Island Mountain,0,,R,EX,791.99,3rd Edition,{T}: Add {U} or {R}.
3,Mox Diamond,Artifact,0,,R,EX,584.99,Stronghold,"If Mox Diamond would enter the battlefield, you may discard a land card instead. If you do, put Mox Diamond onto the battlefield. If you don't, put it into its owner's graveyard.{T}: Add one mana of any color."
4,Tropical Island,Land - Forest Island,0,,R,VG,439.99,3rd Edition,{T}: Add {U} or {G}.
5,Taiga,Land - Mountain Forest,0,,R,VG,303.99,3rd Edition,{T}: Add {G} or {R}.
6,Tundra,Land - Plains Island,0,,R,EX,467.99,3rd Edition,{T}: Add {U} or {W}.
7,Plateau,Land - Mountain Plains,0,,R,VG,287.99,3rd Edition,{T}: Add {R} or {W}.
8,Mishra's Workshop,Land,0,,R,NM,3399.99,Antiquities,{T}: Add {C}{C}{C}. Spend this mana only to cast artifact spells.
9,Lion's Eye Diamond,Artifact,0,,R,EX,431.99,Mirage,"Sacrifice Lion's Eye Diamond, Discard your hand: Add three mana of any one color. Activate this ability only any time you could cast an instant."
10,Scrubland,Land - Plains Swamp,0,,R,VG,247.99,3rd Edition,{T}: Add {B} or {W}.
11,City of Traitors,Land,0,,R,NM,279.99,Exodus,"When you play another land, sacrifice City of Traitors.{T}: Add {C}{C}."
12,Bayou,Land - Swamp Forest,0,,R,VG,335.99,3rd Edition,{T}: Add {B} or {G}.
13,Jeweled Lotus,Artifact,0,,M,NM,119.99,Commander Legends,"{T}, Sacrifice Jeweled Lotus: Add three mana of any one color. Spend this mana only to cast your commander."
14,"Ragavan, Nimble Pilferer",2/1 Legendary Creature - Monkey Pirate,1,R,M,NM,79.99,Modern Horizons 2,"Whenever Ragavan, Nimble Pilferer deals combat damage to a player, create a Treasure token and exile the top card of that player's library. Until end of turn, you may cast that card.Dash {1}{R} "
15,Urza's Saga,Enchantment Land - Urza's Saga,0,,R,NM,42.99,Modern Horizons 2,"I: Urza's Saga gains ""{T}: Add {CL}.""II: Urza's Saga gains ""{2}, {T}: Create a 0/0 colorless Construct artifact creature token with 'This creature gets +1/+1 for each artifact you control.'""III: Search your library for an artifact card with mana cost {0} or {1}, put it onto the battlefield, then shuffle."
16,Savannah,Land - Forest Plains,0,,R,EX,332.99,3rd Edition,{T}: Add {G} or {W}.
17,Rhystic Study,Enchantment,3,U,C,EX,36.54,Prophecy,"Whenever an opponent casts a spell, you may draw a card unless that player pays {1}."
18,The Tabernacle at Pendrell Vale,Legendary Land,0,,R,NM,3899.99,Legends,"All creatures have ""At the beginning of your upkeep, destroy this creature unless you pay {1}."""
19,Polluted Delta,Land,0,,R,NM,42.99,Khans of Tarkir,"{T}, Pay 1 life, Sacrifice Polluted Delta: Search your library for an island or swamp card and put it into play. Then shuffle your library."
20,Force of Will,Instant,5,UU,U,EX,107.99,Alliances,You may pay 1 life and exile a blue card from your hand rather than pay Force of Will's mana cost.Counter target spell.
21,Bloodstained Mire,Land,0,,R,NM,39.99,Khans of Tarkir,"{T}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card and put it onto the battlefield. Then shuffle your library."
22,Fierce Guardianship,Instant,3,U,R,NM,69.99,Commander 2020,"If you control a commander, you may cast this spell without paying its mana cost.Counter target noncreature spell."
23,Wheel of Fortune,Sorcery,3,R,R,EX,278.99,3rd Edition," Each player discards their hand, then draws seven cards."
24,Mana Crypt (KLD),Artifact,0,,S,EX,989.99,Masterpiece Series: Inventions,"At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you.{T}: Add {C}{C}."
25,Gilded Drake,3/3 Creature - Drake,2,U,R,NM,259.99,Urza's Saga,"FlyingWhen Gilded Drake enters the battlefield, exchange control of Gilded Drake and up to one target creature an opponent controls. If you don't make an exchange, sacrifice Gilded Drake. This ability can't be countered except by spells and abilities. "
26,"Sheoldred, the Apocalypse",4/5 Legendary Creature - Phyrexian Praetor,4,BB,M,NM,64.99,Dominaria United,"DeathtouchWhenever you draw a card, you gain 2 life.Whenever an opponent draws a card, they lose 2 life."
27,Solitude,3/2 Creature - Elemental Incarnation,5,WW,M,NM,42.99,Modern Horizons 2,"FlashLifelinkWhen Solitude enters the battlefield, exile up to one other target creature. That creature's controller gains life equal to its power.Evoke - Exile a white card from your hand."
28,Lotus Petal (KLD),Artifact,0,,S,NM,649.99,Masterpiece Series: Inventions,"{T}, Sacrifice Lotus Petal: Add one mana of any color to your mana pool."
29,Wooded Foothills,Land,0,,R,NM,37.99,Khans of Tarkir,"{T}, Pay 1 life, Sacrifice Wooded Foothills: Search your library for a mountain or forest card and put it into play. Then shuffle your library."
30,Flooded Strand,Land,0,,R,NM,37.99,Khans of Tarkir,"{T}, Pay 1 life, Sacrifice Flooded Strand: Search your library for a plains or island card and put it into play. Then shuffle your library."
31,Bazaar of Baghdad,Land,0,,U,EX,2609.99,Arabian Nights,"{T}: Draw two cards, then discard three cards."
32,The Great Henge,Legendary Artifact,9,GG,M,NM,74.99,Throne of Eldraine,"This spell costs {X} less to cast, where X is the greatest power among creatures you control.{T}: Add {G}{G}. You gain 2 life.Whenever a nontoken creature enters the battlefield under your control, put a +1/+1 counter on it and draw a card."
33,Esper Sentinel,1/1 Artifact Creature - Human Soldier,1,W,R,NM,29.99,Modern Horizons 2,"Whenever an opponent casts their first noncreature spell each turn, draw a card unless that player pays {X}, where X is Esper Sentinel's power."
